calendar_date,Point,Site,value,scale
2018-12-27,NE,sand,NA,1
2018-12-27,NE,invasion,NA,1
2018-12-27,NE,sandstone,NA,1
2018-12-27,NE,grass,NA,1
2018-12-27,NE,renosterveld,0.2148962,1
2018-12-27,NW,sand,NA,1
2018-12-27,NW,invasion,NA,1
2018-12-27,NW,grass,NA,1
2018-12-27,NW,renosterveld,0.3070782,1
2018-12-29,SE,limestone,0.4223409,1
2018-12-29,SE,sand,0.3179936,1
2018-12-29,SE,invasion,0.8277609,1
2018-12-29,SE,sandstone,0.5014793,1
2018-12-29,SE,grass,0.3720038,1
2018-12-29,SE,renosterveld,0.3487476,1
2018-12-29,SW,limestone,0.3989362,1
2018-12-29,SW,sand,0.4867777,1
2018-12-29,SW,invasion,0.7281853,1
2018-12-29,SW,sandstone,0.4393369,1
2018-12-29,SW,grass,0.5203349,1
2018-12-29,SW,renosterveld,0.3294529,1
2018-12-29,NW,limestone,0.4288372,1
2018-12-29,NW,sandstone,0.4460227,1
2018-12-29,NE,limestone,0.4085532,1
2018-12-29,NE,sand,0.4576962,1
2018-12-29,NE,invasion,0.7307837,1
2018-12-29,NE,sandstone,0.4649632,1
2018-12-29,NE,grass,0.2778667,1
2018-12-29,NE,renosterveld,0.3642214,1
2018-12-29,NW,sand,0.4459805,1
2018-12-29,NW,invasion,0.7185395,1
2018-12-29,NW,grass,0.5814709,1
2018-12-29,NW,renosterveld,0.3333333,1
2019-01-01,SE,limestone,0.4561308,1
2019-01-01,SE,sand,0.3130062,1
2019-01-01,SE,invasion,0.8199835,1
2019-01-01,SE,sandstone,0.5164835,1
2019-01-01,SE,grass,0.3624615,1
2019-01-01,SE,renosterveld,0.3592085,1
2019-01-01,SW,limestone,0.4085106,1
2019-01-01,SW,sand,0.4526066,1
2019-01-01,SW,invasion,0.7597142,1
2019-01-01,SW,sandstone,0.4475294,1
2019-01-01,SW,grass,0.5467443,1
2019-01-01,SW,renosterveld,0.309417,1
2019-01-01,NW,limestone,0.4346575,1
2019-01-01,NW,sandstone,0.4477408,1
2019-01-01,NE,limestone,0.4238411,1
2019-01-01,NE,sand,0.4262601,1
2019-01-01,NE,invasion,0.733392,1
2019-01-01,NE,sandstone,0.4655429,1
2019-01-01,NE,grass,0.2883355,1
2019-01-01,NE,renosterveld,0.3433171,1
2019-01-01,NW,sand,0.4385965,1
2019-01-01,NW,invasion,0.7369594,1
2019-01-01,NW,grass,0.6062531,1
2019-01-01,NW,renosterveld,0.33186330000000003,1
2019-01-03,SE,limestone,NA,1
2019-01-03,SE,sand,0.4815563,1
2019-01-03,SE,invasion,0.7427692,1
2019-01-03,SE,sandstone,0.4411303,1
2019-01-03,SE,grass,0.4035088,1
2019-01-03,SE,renosterveld,0.3492763,1
2019-01-03,SW,limestone,NA,1
2019-01-03,SW,sand,0.322314,1
2019-01-03,SW,invasion,NA,1
2019-01-03,SW,sandstone,0.4451702,1
2019-01-03,SW,grass,0.507739,1
2019-01-03,SW,renosterveld,0.3195876,1
2019-01-03,NW,limestone,NA,1
2019-01-03,NW,sandstone,0.4671378,1
2019-01-03,NE,limestone,NA,1
2019-01-03,NE,sand,0.4541966,1
2019-01-03,NE,invasion,0.3917473,1
2019-01-03,NE,sandstone,0.4497625,1
2019-01-03,NE,grass,0.2792389,1
2019-01-03,NE,renosterveld,0.3585657,1
2019-01-03,NW,sand,0.4609995,1
2019-01-03,NW,invasion,NA,1
2019-01-03,NW,grass,0.6168067,1
2019-01-03,NW,renosterveld,0.3320731,1
2019-01-06,SE,limestone,0.4244527,1
2019-01-06,SE,sand,0.4441687,1
2019-01-06,SE,invasion,0.7877001,1
2019-01-06,SE,sandstone,0.4882483,1
2019-01-06,SE,grass,0.3636364,1
2019-01-06,SE,renosterveld,0.314717,1
2019-01-06,SW,limestone,0.4433694,1
2019-01-06,SW,sand,0.2839117,1
2019-01-06,SW,invasion,0.7072051,1
2019-01-06,SW,sandstone,0.4286984,1
2019-01-06,SW,grass,0.5022288,1
2019-01-06,SW,renosterveld,0.2974079,1
2019-01-06,NW,limestone,0.5068644,1
2019-01-06,NW,sandstone,0.4397859,1
2019-01-06,NE,limestone,0.4266366,1
2019-01-06,NE,sand,0.4191131,1
2019-01-06,NE,invasion,0.7167756,1
2019-01-06,NE,sandstone,0.444285,1
2019-01-06,NE,grass,0.2938005,1
2019-01-06,NE,renosterveld,0.351735,1
2019-01-06,NW,sand,0.4260036,1
2019-01-06,NW,invasion,0.6929239,1
2019-01-06,NW,grass,0.6190476,1
2019-01-06,NW,renosterveld,0.3307985,1
2019-01-08,SE,limestone,0.4422535,1
2019-01-08,SE,sand,0.5267176,1
2019-01-08,SE,invasion,0.8690193,1
2019-01-08,SE,sandstone,0.5858311,1
2019-01-08,SE,grass,0.364467,1
2019-01-08,SE,renosterveld,0.3398533,1
2019-01-08,SW,limestone,0.4023615,1
2019-01-08,SW,sand,0.2964119,1
2019-01-08,SW,invasion,0.7776,1
2019-01-08,SW,sandstone,0.5426997,1
2019-01-08,SW,grass,0.4974591,1
2019-01-08,SW,renosterveld,0.2935982,1
2019-01-08,NW,limestone,0.4534995,1
2019-01-08,NW,sandstone,0.4970986,1
2019-01-08,NE,limestone,0.4002764,1
2019-01-08,NE,sand,0.5472973,1
2019-01-08,NE,invasion,0.7556076,1
2019-01-08,NE,sandstone,0.5150167,1
2019-01-08,NE,grass,0.2615385,1
2019-01-08,NE,renosterveld,0.3494424,1
2019-01-08,NW,sand,0.4679892,1
2019-01-08,NW,invasion,0.7495892,1
2019-01-08,NW,grass,0.5963681,1
2019-01-08,NW,renosterveld,0.3208232,1
2019-01-11,SE,limestone,0.4099617,1
2019-01-11,SE,sand,0.4406991,1
2019-01-11,SE,invasion,0.8239564,1
2019-01-11,SE,sandstone,0.5212092,1
2019-01-11,SE,grass,0.3604203,1
2019-01-11,SE,renosterveld,0.3482072,1
2019-01-11,SW,limestone,0.4112507,1
2019-01-11,SW,sand,0.492392,1
2019-01-11,SW,invasion,0.7294333,1
2019-01-11,SW,sandstone,0.4543611,1
2019-01-11,SW,grass,0.6093248,1
2019-01-11,SW,renosterveld,0.30707,1
2019-01-11,NW,limestone,0.4932681,1
2019-01-11,NW,sandstone,0.4564593,1
2019-01-11,NE,limestone,0.44968,1
2019-01-11,NE,sand,0.4289581,1
2019-01-11,NE,invasion,0.7153523,1
2019-01-11,NE,sandstone,0.4689619,1
2019-01-11,NE,grass,0.2869308,1
2019-01-11,NE,renosterveld,0.3474843,1
2019-01-11,NW,sand,0.445688,1
2019-01-11,NW,invasion,0.7353082,1
2019-01-11,NW,grass,0.6501035,1
2019-01-11,NW,renosterveld,0.3489249,1
2019-01-13,SE,limestone,0.4255924,1
2019-01-13,SE,sand,0.427816,1
2019-01-13,SE,invasion,0.8282255,1
2019-01-13,SE,sandstone,0.5152253,1
2019-01-13,SE,grass,0.3740634,1
2019-01-13,SE,renosterveld,0.3319043,1
2019-01-13,SW,limestone,0.3971831,1
2019-01-13,SW,sand,0.4136874,1
2019-01-13,SW,invasion,0.7482625,1
2019-01-13,SW,sandstone,0.4668315,1
2019-01-13,SW,grass,0.519921,1
2019-01-13,SW,renosterveld,0.2913692,1
2019-01-13,NW,limestone,0.4473684,1
2019-01-13,NW,sandstone,0.4693227,1
2019-01-13,NE,limestone,0.4189602,1
2019-01-13,NE,sand,0.4511628,1
2019-01-13,NE,invasion,0.7431782,1
2019-01-13,NE,sandstone,0.4671951,1
2019-01-13,NE,grass,0.2712398,1
2019-01-13,NE,renosterveld,0.3361915,1
2019-01-13,NW,sand,0.4416244,1
2019-01-13,NW,invasion,0.7188755,1
2019-01-13,NW,grass,0.5917795,1
2019-01-13,NW,renosterveld,0.3194009,1
2019-01-16,SE,limestone,NA,1
2019-01-16,SE,sand,NA,1
2019-01-16,SE,invasion,NA,1
2019-01-16,SE,sandstone,NA,1
2019-01-16,SE,grass,0.2791686,1
2019-01-16,SE,renosterveld,NA,1
2019-01-16,SW,limestone,NA,1
