calendar_date,site,value,age,scale
2000-02-18,limestone,0.4339,2922,1
2000-02-18,sand,0.3936,2922,1
2000-02-18,invasion,0.7107,2922,1
2000-02-18,sandstone,0.6174000000000001,2922,1
2000-02-18,grass,0.526,2922,1
2000-02-18,renosterveld,0.43210000000000004,2922,1
2000-03-05,limestone,0.26780000000000004,2922.043805612594,1
2000-03-05,sand,0.3094,2922.043805612594,1
2000-03-05,invasion,0.7541,2922.043805612594,1
2000-03-05,sandstone,0.5977,2922.043805612594,1
2000-03-05,grass,0.47090000000000004,2922.043805612594,1
2000-03-05,renosterveld,0.5133,2922.043805612594,1
2000-03-21,limestone,0.48250000000000004,2922.087611225188,1
2000-03-21,sand,0.5503,2922.087611225188,1
2000-03-21,invasion,0.7564000000000001,2922.087611225188,1
2000-03-21,sandstone,0.7225,2922.087611225188,1
2000-03-21,grass,0.49050000000000005,2922.087611225188,1
2000-03-21,renosterveld,0.5869,2922.087611225188,1
2000-04-06,limestone,0.4706,2922.131416837782,1
2000-04-06,sand,0.3514,2922.131416837782,1
2000-04-06,invasion,0.7383000000000001,2922.131416837782,1
2000-04-06,sandstone,0.6435000000000001,2922.131416837782,1
2000-04-06,grass,0.5615,2922.131416837782,1
2000-04-06,renosterveld,0.5963,2922.131416837782,1
2000-04-22,limestone,0.4888,2922.1752224503766,1
2000-04-22,sand,0.41950000000000004,2922.1752224503766,1
2000-04-22,invasion,0.7617,2922.1752224503766,1
2000-04-22,sandstone,0.6719,2922.1752224503766,1
2000-04-22,grass,0.5782,2922.1752224503766,1
2000-04-22,renosterveld,0.5766,2922.1752224503766,1
2000-05-08,limestone,0.5047,2922.2190280629707,1
2000-05-08,sand,0.3537,2922.2190280629707,1
2000-05-08,invasion,0.7296,2922.2190280629707,1
2000-05-08,sandstone,0.7020000000000001,2922.2190280629707,1
2000-05-08,grass,0.6950000000000001,2922.2190280629707,1
2000-05-08,renosterveld,0.5562,2922.2190280629707,1
2000-05-24,limestone,0.5263,2922.2628336755647,1
2000-05-24,sand,0.5057,2922.2628336755647,1
2000-05-24,invasion,0.7455,2922.2628336755647,1
2000-05-24,sandstone,0.6449,2922.2628336755647,1
